#APS Storage Ring History, measured on 2013-07-09
#S:SRtimeCP      S:SRcurrentCP
#time, hr       	current, mA     
-19.4833       	102.279        
-19.4667       	101.99         
-19.45         	101.982        
-19.4333       	101.986        
-19.4167       	102.186        
-19.4          	102.176        
-19.3833       	102.145        
-19.3667       	102.128        
-19.35         	102.107        
-19.3333       	102.299        
-19.3167       	102.011        
-19.3          	101.99         
-19.2833       	101.971        
-19.2667       	102.127        
-19.25         	102.117        
-19.2333       	102.112        
-19.2167       	102.09         
-19.2          	102.273        
-19.1833       	101.985        
-19.1667       	101.984        
-19.15         	101.959        
-19.1333       	102.141        
-19.1167       	102.128        
-19.1          	102.119        
-19.0833       	102.092        
-19.0667       	102.079        
-19.05         	102.234        
-19.0333       	102.221        
-19.0167       	102.215        
-19            	102.204        
-18.9833       	102.186        
-18.9667       	102.386        
-18.95         	102.095        
-18.9333       	102.108        
-18.9167       	102.333        
-18.9          	102.056        
-18.8833       	102.042        
-18.8667       	102.043        
-18.85         	102.054        
-18.8333       	102.173        
-18.8167       	102.158        
-18.8          	102.145        
-18.7833       	102.145        
-18.7667       	102.116        
-18.75         	102.239        
-18.7333       	102.24         
-18.7167       	102.231        
-18.7          	102.331        
-18.6833       	102.048        
-18.6667       	102.036        
-18.65         	102.039        
-18.6333       	102.169        
-18.6167       	102.165        
-18.6          	102.155        
-18.5833       	102.156        
-18.5667       	102.153        
-18.55         	102.261        
-18.5333       	102.254        
-18.5167       	102.249        
-18.5          	102.402        
-18.4833       	102.121        
-18.4667       	102.125        
-18.45         	102.103        
-18.4333       	102.081        
-18.4167       	102.239        
-18.4          	102.244        
-18.3833       	102.253        
-18.3667       	102.389        
-18.35         	102.11         
-18.3333       	102.103        
-18.3167       	102.133        
-18.3          	102.151        
-18.2833       	102.378        
-18.2667       	102.097        
-18.25         	102.113        
-18.2333       	102.123        
-18.2167       	102.132        
-18.2          	102.345        
-18.1833       	102.064        
-18.1667       	102.071        
-18.15         	102.083        
-18.1333       	102.102        
-18.1167       	102.298        
-18.1          	102.013        
-18.0833       	102.027        
-18.0667       	102.036        
-18.05         	102.261        
-18.0333       	102.286        
